Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Peru,Latin America and Caribbean,5.305,9.204,0.736,65.3,0.701,0.057,0.841
Hong Kong S.A.R. of China,East Asia,5.29,10.89,0.91,75.8,0.843,0.212,0.779
Nicaragua,Latin America and Caribbean,5.283,8.712,0.769,63.1,0.647,0.035,0.803
Mexico,Latin America and Caribbean,5.241,9.762,0.808,67.9,0.77,0.019,0.804
Croatia,Central and Eastern Europe,5.232,10.089,0.787,68.3,0.74,0.029,0.8
Montenegro,Central and Eastern Europe,5.219,9.953,0.78,68.6,0.765,0.029,0.786
Japan,East Asia,6.063,10.641,0.875,74.8,0.769,0.023,0.739
Russia,Commonwealth of Independent States,5.661,10.112,0.79,64.6,0.651,-0.072,0.839
Pakistan,South Asia,4.931,9.076,0.639,62.1,0.58,-0.046,0.854
Honduras,Latin America and Caribbean,4.907,8.589,0.672,62.9,0.628,0.02,0.836
South Africa,Sub-Saharan Africa,4.833,9.614,0.766,69.8,0.723,0.024,0.799
Malaysia,Southeast Asia,5.277,9.891,0.799,66.1,0.715,-0.081,0.839
Belarus,Commonwealth of Independent States,5.237,9.203,0.82,66.9,0.726,0.054,0.825
Kyrgyzstan,Commonwealth of Independent States,5.069,8.975,0.821,68.7,0.729,0.039,0.82
Tajikistan,Commonwealth of Independent States,5.041,9.219,0.741,65.3,0.681,0.001,0.869
Mongolia,East Asia,5.438,9.529,0.791,66.1,0.693,-0.141,0.835
Venezuela,Latin America and Caribbean,5.209,9.232,0.784,67.1,0.683,-0.109,0.826
Vietnam,Southeast Asia,5.131,9.294,0.754,65.2,0.726,-0.08,0.826
Iraq,Middle East and North Africa,4.938,9.673,0.801,60.4,0.697,0.153,0.849
Morocco,Middle East and North Africa,4.9,8.929,0.698,63.4,0.599,0.051,0.761
Indonesia,Southeast Asia,4.859,9.18,0.79,64.9,0.672,0.164,0.843
Sri Lanka,South Asia,4.364,8.364,0.701,57.4,0.576,-0.069,0.84
China,East Asia,5.818,9.845,0.818,64.0,0.79,-0.06,0.713
Bulgaria,Central and Eastern Europe,4.741,8.68,0.565,64.8,0.552,0.034,0.881
Bangladesh,South Asia,5.028,8.57,0.791,68.2,0.694,0.125,0.879
Ethiopia,Sub-Saharan Africa,4.715,9.753,0.822,68.0,0.747,0.071,0.813
Uganda,Sub-Saharan Africa,4.694,8.398,0.529,63.2,0.571,0.163,0.88
Cameroon,Sub-Saharan Africa,4.694,6.991,0.455,57.2,0.588,0.256,0.808
Ghana,Sub-Saharan Africa,4.381,7.215,0.427,55.4,0.513,0.18,0.754
Niger,Sub-Saharan Africa,4.312,7.267,0.499,52.1,0.563,0.23,0.784
Zambia,Sub-Saharan Africa,4.289,7.827,0.603,55.8,0.568,0.202,0.76
Malawi,Sub-Saharan Africa,4.073,8.007,0.695,54.9,0.642,0.152,0.698
Tanzania,Sub-Saharan Africa,4.057,7.343,0.495,52.6,0.537,0.259,0.793
Senegal,Sub-Saharan Africa,3.983,6.944,0.434,51.5,0.526,0.255,0.854
Zimbabwe,Sub-Saharan Africa,3.802,7.176,0.531,55.7,0.539,0.136,0.844
Rwanda,Sub-Saharan Africa,3.703,7.52,0.613,57.5,0.511,0.139,0.841
Botswana,Sub-Saharan Africa,3.572,7.078,0.58,52.0,0.532,0.215,0.852
Liberia,Sub-Saharan Africa,4.642,8.56,0.725,61.5,0.661,0.151,0.869
India,South Asia,4.369,8.07,0.615,65.8,0.59,0.129,0.831
Egypt,Middle East and North Africa,4.291,8.002,0.54,59.8,0.682,0.221,0.823
Myanmar,Southeast Asia,4.145,7.551,0.519,57.8,0.634,0.163,0.851
Kenya,Sub-Saharan Africa,4.123,7.899,0.631,53.5,0.491,0.156,0.835
Nigeria,Sub-Saharan Africa,4.072,7.418,0.477,58.1,0.523,0.284,0.763
Nepal,South Asia,3.975,7.481,0.509,60.1,0.603,0.212,0.762
Cambodia,Southeast Asia,4.044,8.131,0.606,62.1,0.678,0.082,0.789
Ukraine,Central and Eastern Europe,3.846,7.034,0.547,62.3,0.601,0.252,0.839
Mozambique,Sub-Saharan Africa,2.852,7.324,0.368,54.1,0.412,0.233,0.858
